page,slug,class,scope,source_status,publish_status,primary_issue
V2 Module 02 Facility Operations,V2-Module-02-Facility-Operations,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 03 Regulatory Governance,V2-Module-03-Regulatory-Governance,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 04 Pharmaceutical Product,V2-Module-04-Pharmaceutical-Product,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 05 Supply Operations,V2-Module-05-Supply-Operations,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 06 Ecosystem Observation,V2-Module-06-Ecosystem-Observation,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 07 Spatiotemporal Context,V2-Module-07-Spatiotemporal-Context,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 08 Evidence Traceability,V2-Module-08-Evidence-Traceability,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 09 Entity Identity,V2-Module-09-Entity-Identity,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 10 Regulatory Policy,V2-Module-10-Regulatory-Policy,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 11 Supply Resilience,V2-Module-11-Supply-Resilience,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 12 Market Access,V2-Module-12-Market-Access,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 13 Risk Management,V2-Module-13-Risk-Management,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 14 Pharmacovigilance,V2-Module-14-Pharmacovigilance,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 15 Business Architecture,V2-Module-15-Business-Architecture,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 16 Digital Systems,V2-Module-16-Digital-Systems,Concept / Domain / Model,V2,source-complete,published,234
V2 Module 17 Clinical Care,V2-Module-17-Clinical-Care,Concept / Domain / Model,V2,source-complete,published,234
V2 Concept C001 Organization,V2-Concept-C001-Organization,Reference / Index,V2,source-complete,published,234
V2 Concept C002 Ecosystem Participant,V2-Concept-C002-Ecosystem-Participant,Reference / Index,V2,source-complete,published,234
V2 Concept C003 Regulatory Authority,V2-Concept-C003-Regulatory-Authority,Reference / Index,V2,source-complete,published,234
V2 Concept C004 Manufacturer,V2-Concept-C004-Manufacturer,Reference / Index,V2,source-complete,published,234
V2 Concept C005 Importer,V2-Concept-C005-Importer,Reference / Index,V2,source-complete,published,234
V2 Concept C006 Product Responsible Organization,V2-Concept-C006-Product-Responsible-Organization,Reference / Index,V2,source-complete,published,234
V2 Concept C007 Wholesale Distributor,V2-Concept-C007-Wholesale-Distributor,Reference / Index,V2,source-complete,published,234
V2 Concept C008 Third-Party Logistics Provider,V2-Concept-C008-Third-Party-Logistics-Provider,Reference / Index,V2,source-complete,published,234
V2 Concept C009 Facility,V2-Concept-C009-Facility,Reference / Index,V2,source-complete,published,234
V2 Concept C010 Manufacturing Site,V2-Concept-C010-Manufacturing-Site,Reference / Index,V2,source-complete,published,234
V2 Concept C011 Distribution Site,V2-Concept-C011-Distribution-Site,Reference / Index,V2,source-complete,published,234
V2 Concept C012 Facility Operation,V2-Concept-C012-Facility-Operation,Reference / Index,V2,source-complete,published,234
V2 Concept C013 Establishment Registration,V2-Concept-C013-Establishment-Registration,Reference / Index,V2,source-complete,published,234
V2 Concept C014 Regulatory Authorization,V2-Concept-C014-Regulatory-Authorization,Reference / Index,V2,source-complete,published,234
V2 Concept C015 Regulatory Jurisdiction,V2-Concept-C015-Regulatory-Jurisdiction,Reference / Index,V2,source-complete,published,234
V2 Concept C016 Medicinal Product,V2-Concept-C016-Medicinal-Product,Reference / Index,V2,source-complete,published,234
V2 Concept C017 Pharmaceutical Substance,V2-Concept-C017-Pharmaceutical-Substance,Reference / Index,V2,source-complete,published,234
V2 Concept C018 Medicinal Product Presentation,V2-Concept-C018-Medicinal-Product-Presentation,Reference / Index,V2,source-complete,published,234
V2 Concept C019 Dosage Form Specification,V2-Concept-C019-Dosage-Form-Specification,Reference / Index,V2,source-complete,published,234
V2 Concept C020 Strength,V2-Concept-C020-Strength,Reference / Index,V2,source-complete,published,234
V2 Concept C021 Package Configuration,V2-Concept-C021-Package-Configuration,Reference / Index,V2,source-complete,published,234
V2 Concept C022 Product Classification Scheme,V2-Concept-C022-Product-Classification-Scheme,Reference / Index,V2,source-complete,published,234
V2 Concept C023 Classification Entry,V2-Concept-C023-Classification-Entry,Reference / Index,V2,source-complete,published,234
V2 Concept C024 Product Classification Assignment,V2-Concept-C024-Product-Classification-Assignment,Reference / Index,V2,source-complete,published,234
V2 Concept C025 Market Listing,V2-Concept-C025-Market-Listing,Reference / Index,V2,source-complete,published,234
V2 Concept C026 Manufacturing Activity,V2-Concept-C026-Manufacturing-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C027 Pharmaceutical Logistics Activity,V2-Concept-C027-Pharmaceutical-Logistics-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C028 Medicine Shortage Situation,V2-Concept-C028-Medicine-Shortage-Situation,Reference / Index,V2,source-complete,published,234
V2 Concept C029 Supply Capacity,V2-Concept-C029-Supply-Capacity,Reference / Index,V2,source-complete,published,234
V2 Concept C030 Availability Observation Result,V2-Concept-C030-Availability-Observation-Result,Reference / Index,V2,source-complete,published,234
V2 Concept C031 Demand Observation Result,V2-Concept-C031-Demand-Observation-Result,Reference / Index,V2,source-complete,published,234
V2 Concept C032 Supply Capacity Observation Result,V2-Concept-C032-Supply-Capacity-Observation-Result,Reference / Index,V2,source-complete,published,234
V2 Concept C033 Geographic Feature,V2-Concept-C033-Geographic-Feature,Reference / Index,V2,source-complete,published,234
V2 Concept C034 Administrative Region,V2-Concept-C034-Administrative-Region,Reference / Index,V2,source-complete,published,234
V2 Concept C035 Country,V2-Concept-C035-Country,Reference / Index,V2,source-complete,published,234
V2 Concept C036 Geospatial Position,V2-Concept-C036-Geospatial-Position,Reference / Index,V2,source-complete,published,234
V2 Concept C037 Address,V2-Concept-C037-Address,Reference / Index,V2,source-complete,published,234
V2 Concept C038 Time Interval,V2-Concept-C038-Time-Interval,Reference / Index,V2,source-complete,published,234
V2 Concept C039 Reporting Period,V2-Concept-C039-Reporting-Period,Reference / Index,V2,source-complete,published,234
V2 Concept C040 Data Source,V2-Concept-C040-Data-Source,Reference / Index,V2,source-complete,published,234
V2 Concept C041 Dataset,V2-Concept-C041-Dataset,Reference / Index,V2,source-complete,published,234
V2 Concept C042 Dataset Release,V2-Concept-C042-Dataset-Release,Reference / Index,V2,source-complete,published,234
V2 Concept C043 Source Record,V2-Concept-C043-Source-Record,Reference / Index,V2,source-complete,published,234
V2 Concept C044 Assertion,V2-Concept-C044-Assertion,Reference / Index,V2,source-complete,published,234
V2 Concept C045 Observation Activity,V2-Concept-C045-Observation-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C046 Observation Result,V2-Concept-C046-Observation-Result,Reference / Index,V2,source-complete,published,234
V2 Concept C047 Measure Value,V2-Concept-C047-Measure-Value,Reference / Index,V2,source-complete,published,234
V2 Concept C048 Evidence Item,V2-Concept-C048-Evidence-Item,Reference / Index,V2,source-complete,published,234
V2 Concept C049 Evidence Support,V2-Concept-C049-Evidence-Support,Reference / Index,V2,source-complete,published,234
V2 Concept C050 Mapping Assertion,V2-Concept-C050-Mapping-Assertion,Reference / Index,V2,source-complete,published,234
V2 Concept C051 Provenance Activity,V2-Concept-C051-Provenance-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C052 Data Quality Finding,V2-Concept-C052-Data-Quality-Finding,Reference / Index,V2,source-complete,published,234
V2 Concept C053 Identifier Value,V2-Concept-C053-Identifier-Value,Reference / Index,V2,source-complete,published,234
V2 Concept C054 Identifier Scheme,V2-Concept-C054-Identifier-Scheme,Reference / Index,V2,source-complete,published,234
V2 Concept C055 Identifier Assignment,V2-Concept-C055-Identifier-Assignment,Reference / Index,V2,source-complete,published,234
V2 Concept C056 Entity Match Assertion,V2-Concept-C056-Entity-Match-Assertion,Reference / Index,V2,source-complete,published,234
V2 Concept C057 Match Confidence,V2-Concept-C057-Match-Confidence,Reference / Index,V2,source-complete,published,234
V2 Concept C058 Regulatory Requirement,V2-Concept-C058-Regulatory-Requirement,Reference / Index,V2,source-complete,published,234
V2 Concept C059 Regulatory Oversight,V2-Concept-C059-Regulatory-Oversight,Reference / Index,V2,source-complete,published,234
V2 Concept C060 Contextual Medicine Classification Assignment,V2-Concept-C060-Contextual-Medicine-Classification-Assignment,Reference / Index,V2,source-complete,published,234
V2 Concept C061 Essential Medicine Classification Assignment,V2-Concept-C061-Essential-Medicine-Classification-Assignment,Reference / Index,V2,source-complete,published,234
V2 Concept C062 Critical Medicine Classification Assignment,V2-Concept-C062-Critical-Medicine-Classification-Assignment,Reference / Index,V2,source-complete,published,234
V2 Concept C063 Alternative Medicinal Product,V2-Concept-C063-Alternative-Medicinal-Product,Reference / Index,V2,source-complete,published,234
V2 Concept C064 Alternative Medicinal Product Assignment,V2-Concept-C064-Alternative-Medicinal-Product-Assignment,Reference / Index,V2,source-complete,published,234
V2 Concept C065 Supply Dependency,V2-Concept-C065-Supply-Dependency,Reference / Index,V2,source-complete,published,234
V2 Concept C066 Disruption Event,V2-Concept-C066-Disruption-Event,Reference / Index,V2,source-complete,published,234
V2 Concept C067 Inventory Observation Result,V2-Concept-C067-Inventory-Observation-Result,Reference / Index,V2,source-complete,published,234
V2 Concept C068 Procurement Activity,V2-Concept-C068-Procurement-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C069 Lead Time Observation Result,V2-Concept-C069-Lead-Time-Observation-Result,Reference / Index,V2,source-complete,published,234
V2 Concept C070 Stockout Situation,V2-Concept-C070-Stockout-Situation,Reference / Index,V2,source-complete,published,234
V2 Concept C071 Healthcare Financing Organization,V2-Concept-C071-Healthcare-Financing-Organization,Reference / Index,V2,source-complete,published,234
V2 Concept C072 Reimbursement and Utilization Observation Result,V2-Concept-C072-Reimbursement-and-Utilization-Observation-Result,Reference / Index,V2,source-complete,published,234
V2 Concept C073 Diagnosis Classification Reference,V2-Concept-C073-Diagnosis-Classification-Reference,Reference / Index,V2,source-complete,published,234
V2 Concept C074 Asset at Risk,V2-Concept-C074-Asset-at-Risk,Reference / Index,V2,source-complete,published,234
V2 Concept C075 Risk Assessment Activity,V2-Concept-C075-Risk-Assessment-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C076 Vulnerability,V2-Concept-C076-Vulnerability,Reference / Index,V2,source-complete,published,234
V2 Concept C077 Risk Treatment Plan,V2-Concept-C077-Risk-Treatment-Plan,Reference / Index,V2,source-complete,published,234
V2 Concept C078 Risk Treatment Activity,V2-Concept-C078-Risk-Treatment-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C079 Pharmacovigilance Requirement,V2-Concept-C079-Pharmacovigilance-Requirement,Reference / Index,V2,source-complete,published,234
V2 Concept C080 Adverse Event Reporting Activity,V2-Concept-C080-Adverse-Event-Reporting-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C081 Post-Market Surveillance Activity,V2-Concept-C081-Post-Market-Surveillance-Activity,Reference / Index,V2,source-complete,published,234
V2 Concept C082 Business Architecture View,V2-Concept-C082-Business-Architecture-View,Reference / Index,V2,source-complete,published,234
V2 Concept C083 Enterprise Capability,V2-Concept-C083-Enterprise-Capability,Reference / Index,V2,source-complete,published,234
V2 Concept C084 Strategic Partnership Agreement,V2-Concept-C084-Strategic-Partnership-Agreement,Reference / Index,V2,source-complete,published,234
V2 Concept C085 Service Offering Specification,V2-Concept-C085-Service-Offering-Specification,Reference / Index,V2,source-complete,published,234
V2 Concept C086 Digital System Component,V2-Concept-C086-Digital-System-Component,Reference / Index,V2,source-complete,published,234
V2 Concept C087 Clinical Care Participant,V2-Concept-C087-Clinical-Care-Participant,Reference / Index,V2,source-complete,published,234
V2 Object Property alternativeForProduct,V2-Object-Property-alternativeForProduct,Reference / Index,V2,source-complete,published,234
V2 Object Property alternativeProduct,V2-Object-Property-alternativeProduct,Reference / Index,V2,source-complete,published,234
V2 Object Property authorizationAuthority,V2-Object-Property-authorizationAuthority,Reference / Index,V2,source-complete,published,234
V2 Object Property authorizationJurisdiction,V2-Object-Property-authorizationJurisdiction,Reference / Index,V2,source-complete,published,234
V2 Object Property authorizationParty,V2-Object-Property-authorizationParty,Reference / Index,V2,source-complete,published,234
V2 Object Property baViewRepresents,V2-Object-Property-baViewRepresents,Reference / Index,V2,source-complete,published,234
V2 Object Property capacityBearer,V2-Object-Property-capacityBearer,Reference / Index,V2,source-complete,published,234
V2 Object Property classificationEntity,V2-Object-Property-classificationEntity,Reference / Index,V2,source-complete,published,234
V2 Object Property classificationEntry,V2-Object-Property-classificationEntry,Reference / Index,V2,source-complete,published,234
V2 Object Property containsSourceRecord,V2-Object-Property-containsSourceRecord,Reference / Index,V2,source-complete,published,234
V2 Object Property contextClassificationEntry,V2-Object-Property-contextClassificationEntry,Reference / Index,V2,source-complete,published,234
V2 Object Property contextClassificationJurisdiction,V2-Object-Property-contextClassificationJurisdiction,Reference / Index,V2,source-complete,published,234
V2 Object Property contextClassificationProduct,V2-Object-Property-contextClassificationProduct,Reference / Index,V2,source-complete,published,234
V2 Object Property dependencyDependent,V2-Object-Property-dependencyDependent,Reference / Index,V2,source-complete,published,234
V2 Object Property dependencyProvider,V2-Object-Property-dependencyProvider,Reference / Index,V2,source-complete,published,234
V2 Object Property disruptionAffects,V2-Object-Property-disruptionAffects,Reference / Index,V2,source-complete,published,234
V2 Object Property entryInScheme,V2-Object-Property-entryInScheme,Reference / Index,V2,source-complete,published,234
V2 Object Property evidenceAssertion,V2-Object-Property-evidenceAssertion,Reference / Index,V2,source-complete,published,234
V2 Object Property evidenceRecord,V2-Object-Property-evidenceRecord,Reference / Index,V2,source-complete,published,234
V2 Object Property generatedAssertion,V2-Object-Property-generatedAssertion,Reference / Index,V2,source-complete,published,234
V2 Object Property hasActiveSubstance,V2-Object-Property-hasActiveSubstance,Reference / Index,V2,source-complete,published,234
V2 Object Property hasDatasetRelease,V2-Object-Property-hasDatasetRelease,Reference / Index,V2,source-complete,published,234
V2 Object Property hasDosageForm,V2-Object-Property-hasDosageForm,Reference / Index,V2,source-complete,published,234
V2 Object Property hasMatchConfidence,V2-Object-Property-hasMatchConfidence,Reference / Index,V2,source-complete,published,234
V2 Object Property hasPackageConfiguration,V2-Object-Property-hasPackageConfiguration,Reference / Index,V2,source-complete,published,234
V2 Object Property hasStrength,V2-Object-Property-hasStrength,Reference / Index,V2,source-complete,published,234
V2 Object Property identifierEntity,V2-Object-Property-identifierEntity,Reference / Index,V2,source-complete,published,234
V2 Object Property identifierScheme,V2-Object-Property-identifierScheme,Reference / Index,V2,source-complete,published,234
V2 Object Property listingJurisdiction,V2-Object-Property-listingJurisdiction,Reference / Index,V2,source-complete,published,234
V2 Object Property listingPresentation,V2-Object-Property-listingPresentation,Reference / Index,V2,source-complete,published,234
V2 Object Property listingResponsibleOrganization,V2-Object-Property-listingResponsibleOrganization,Reference / Index,V2,source-complete,published,234
V2 Object Property locatedIn,V2-Object-Property-locatedIn,Reference / Index,V2,source-complete,published,234
V2 Object Property maintainsDataset,V2-Object-Property-maintainsDataset,Reference / Index,V2,source-complete,published,234
V2 Object Property matchObject,V2-Object-Property-matchObject,Reference / Index,V2,source-complete,published,234
V2 Object Property matchSubject,V2-Object-Property-matchSubject,Reference / Index,V2,source-complete,published,234
V2 Object Property observationResultAbout,V2-Object-Property-observationResultAbout,Reference / Index,V2,source-complete,published,234
V2 Object Property operates,V2-Object-Property-operates,Reference / Index,V2,source-complete,published,234
V2 Object Property operationFacility,V2-Object-Property-operationFacility,Reference / Index,V2,source-complete,published,234
V2 Object Property operationOrganization,V2-Object-Property-operationOrganization,Reference / Index,V2,source-complete,published,234
V2 Object Property presentationOf,V2-Object-Property-presentationOf,Reference / Index,V2,source-complete,published,234
V2 Object Property producesObservationResult,V2-Object-Property-producesObservationResult,Reference / Index,V2,source-complete,published,234
V2 Object Property registrationAuthority,V2-Object-Property-registrationAuthority,Reference / Index,V2,source-complete,published,234
V2 Object Property registrationEntity,V2-Object-Property-registrationEntity,Reference / Index,V2,source-complete,published,234
V2 Object Property registrationJurisdiction,V2-Object-Property-registrationJurisdiction,Reference / Index,V2,source-complete,published,234
V2 Object Property riskAssessmentConcerns,V2-Object-Property-riskAssessmentConcerns,Reference / Index,V2,source-complete,published,234
V2 Object Property riskTreatmentAddresses,V2-Object-Property-riskTreatmentAddresses,Reference / Index,V2,source-complete,published,234
V2 Object Property shortageJurisdiction,V2-Object-Property-shortageJurisdiction,Reference / Index,V2,source-complete,published,234
V2 Object Property shortagePresentation,V2-Object-Property-shortagePresentation,Reference / Index,V2,source-complete,published,234
V2 Object Property shortageProduct,V2-Object-Property-shortageProduct,Reference / Index,V2,source-complete,published,234
V2 Object Property usedSourceArtifact,V2-Object-Property-usedSourceArtifact,Reference / Index,V2,source-complete,published,234
V2 Object Property withinCountry,V2-Object-Property-withinCountry,Reference / Index,V2,source-complete,published,234
V2 Object Property withinRegion,V2-Object-Property-withinRegion,Reference / Index,V2,source-complete,published,234
V2 Datatype Property identifierLexicalValue,V2-Datatype-Property-identifierLexicalValue,Reference / Index,V2,source-complete,published,234
V2 Datatype Property measureNumericValue,V2-Datatype-Property-measureNumericValue,Reference / Index,V2,source-complete,published,234
V2 Datatype Property measureUnitLabel,V2-Datatype-Property-measureUnitLabel,Reference / Index,V2,source-complete,published,234
V2 Datatype Property validFrom,V2-Datatype-Property-validFrom,Reference / Index,V2,source-complete,published,234
V2 Datatype Property validTo,V2-Datatype-Property-validTo,Reference / Index,V2,source-complete,published,234
V2 Ontology Reference,V2-Ontology-Reference,Reference / Index,V2,source-complete,published,234
V2 Ontology Diagram Suite,V2-Ontology-Diagram-Suite,Concept / Domain / Model,V2,source-complete,published,235
V2 Table dataset,V2-Table-dataset,Data / Database,V2,source-complete,published,236
V2 Table dataset_release,V2-Table-dataset-release,Data / Database,V2,source-complete,published,236
V2 Table transformation_run,V2-Table-transformation-run,Data / Database,V2,source-complete,published,236
V2 Table source_record,V2-Table-source-record,Data / Database,V2,source-complete,published,236
V2 Table geography,V2-Table-geography,Data / Database,V2,source-complete,published,236
V2 Table geography_alias,V2-Table-geography-alias,Data / Database,V2,source-complete,published,236
V2 Table regulatory_jurisdiction,V2-Table-regulatory-jurisdiction,Data / Database,V2,source-complete,published,236
V2 Table organization,V2-Table-organization,Data / Database,V2,source-complete,published,236
V2 Table facility,V2-Table-facility,Data / Database,V2,source-complete,published,236
V2 Table facility_operation,V2-Table-facility-operation,Data / Database,V2,source-complete,published,236
V2 Table pharmaceutical_substance,V2-Table-pharmaceutical-substance,Data / Database,V2,source-complete,published,236
V2 Table medicinal_product,V2-Table-medicinal-product,Data / Database,V2,source-complete,published,236
V2 Table product_presentation,V2-Table-product-presentation,Data / Database,V2,source-complete,published,236
V2 Table identifier_scheme,V2-Table-identifier-scheme,Data / Database,V2,source-complete,published,236
V2 Table identifier_assignment,V2-Table-identifier-assignment,Data / Database,V2,source-complete,published,236
V2 Table product_classification_scheme,V2-Table-product-classification-scheme,Data / Database,V2,source-complete,published,236
V2 Table classification_entry,V2-Table-classification-entry,Data / Database,V2,source-complete,published,236
V2 Table product_classification_assignment,V2-Table-product-classification-assignment,Data / Database,V2,source-complete,published,236
V2 Table diagnosis_reference,V2-Table-diagnosis-reference,Data / Database,V2,source-complete,published,236
V2 Table assertion,V2-Table-assertion,Data / Database,V2,source-complete,published,236
V2 Table evidence_support,V2-Table-evidence-support,Data / Database,V2,source-complete,published,236
V2 Table observation_result,V2-Table-observation-result,Data / Database,V2,source-complete,published,236
V2 Table entity_match_assertion,V2-Table-entity-match-assertion,Data / Database,V2,source-complete,published,236
V2 Table medicine_shortage_situation,V2-Table-medicine-shortage-situation,Data / Database,V2,source-complete,published,236
V2 Database Data Dictionary,V2-Database-Data-Dictionary,Data / Database,V2,source-complete,published,236
V2 Database Views,V2-Database-Views,Data / Database,V2,source-complete,published,236
V2 Database Reference,V2-Database-Reference,Data / Database,V2,source-complete,published,236
V2 Database ERD Suite,V2-Database-ERD-Suite,Data / Database,V2,source-complete,published,236
