mapping_id,source_id,source_role,source_field,in_scope,mapping_status,critical_for_principal_claim,semantic_interpretation,ontology_targets,rdb_targets,kg_projection,transformation_rule,provenance_rule,semantic_loss,rationale,manual_audit
P1-F11,P1-NHIF-OUTPATIENT,primary,icd_name,true,bounded,false,"Source diagnosis label for the ICD classification reference","cmpe:DiagnosisClassificationReference; rdfs:label","diagnosis_reference.label","RDB only in current W6 ABox","Attach the source label to the ICD-10 reference record","Source record retained through the observation relation",medium,"Descriptive label is retained relationally; RDF projection remains pending",PASS
P1-F12,P1-NHIF-OUTPATIENT,primary,patients_num,true,derived,true,"Aggregate patient count reported for the source reimbursement row; not patient identity","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.patient_count","Separate RDF ObservationResult with measureNumericValue and unit 'patient count'","Project one relational aggregate row into a metric-specific observation-result node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Prevents fabrication of patient individuals while preserving the aggregate measure",PASS
P1-F13,P1-NHIF-OUTPATIENT,primary,pack_num,true,derived,true,"Aggregate package count reported for the source reimbursement row","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.package_count","Separate RDF ObservationResult with unit 'package count'","Project one relational aggregate row into a metric-specific observation-result node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Measure semantics are explicit and separated from patient count",PASS
P1-F14,P1-NHIF-OUTPATIENT,primary,costs,true,bounded,false,"Original source-reported cost value before normalized BGN/EUR projections","cmpe:ReimbursementUtilisationObservationResult (coarse target)","observation_result.cost_original","RDB only; current ABox emits normalized BGN/EUR metric nodes instead","Retain original numeric value unchanged in the relational evidence layer","SourceRecord preserves the original row and transformation lineage",medium,"Original monetary value remains auditable but is not independently projected in RDF",PASS
P1-F15,P1-NHIF-OUTPATIENT,primary,period,true,derived,true,"Reporting period for the aggregate observation","cmpe:validFrom; cmpe:ReimbursementUtilisationObservationResult","observation_result.reporting_period","cmpe:validFrom xsd:dateTime on each metric observation node","Convert source date to deterministic midnight dateTime representation","Observation result remains linked to SourceRecord/transformation provenance",low,"Current projection represents a reporting date anchor rather than a full temporal interval",PASS
P1-F16,P1-NHIF-OUTPATIENT,primary,part,false,out_of_scope,false,"Source partition/subperiod field retained for source fidelity and row-key discrimination rather than domain semantics","none","source_record.raw_key.part; observation_result.reporting_part","Not projected as a CM-PharmE domain assertion","Retain verbatim in source key/relational record","Included in SourceRecord fingerprint/raw key",none,"Explicitly excluded from ontology-domain claims; retained for reproducibility and source traceability",PASS
P1-F17,P1-NHIF-OUTPATIENT,primary,currency,true,bounded,false,"Currency label associated with the original cost measure","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureUnitLabel (normalized metric projection)","observation_result.currency","Original currency field is RDB-only; normalized BGN/EUR observation nodes carry explicit unit labels","Retain source currency and emit unit labels for normalized monetary metrics","SourceRecord preserves original currency and transformation provenance",medium,"Currency semantics are preserved but not represented as a dedicated currency entity/value-space in the current ontology projection",PASS
P1-F18,P1-NHIF-OUTPATIENT,primary,costs_bgn,true,derived,true,"Normalized BGN monetary observation","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.cost_bgn","Separate RDF ObservationResult with unit 'BGN'","Project normalized BGN value to a metric-specific observation-result node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Explicit metric-specific projection avoids mixing monetary measures",PASS
P1-F19,P1-NHIF-OUTPATIENT,primary,costs_eur,true,derived,true,"Normalized EUR monetary observation","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.cost_eur","Separate RDF ObservationResult with unit 'EUR'","Project normalized EUR value to a metric-specific observation-result node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Explicit metric-specific projection avoids mixing monetary measures",PASS
P2-F01,P2-NHIF-INPATIENT,secondary,region_num,true,derived,true,"NHIF administrative-region code used as a controlled geography-resolution key","cmpe:AdministrativeRegion","geography.source_region_code; geography_alias.source_value; observation_result.geography_id; facility.geography_id","AdministrativeRegion instance; dct:spatial on observations; cmpe:locatedIn on facilities","Resolve through the frozen NHIF geography alias table; never treat the source code as globally unique geography identity","DatasetRelease -> SourceRecord; facility/observation links retain source-derived traceability",low,"Preserves region semantics while separating source code from canonical geographic identity",PASS
P2-F02,P2-NHIF-INPATIENT,secondary,region_name,true,bounded,true,"Source region label used as an alias/canonicalization input for an AdministrativeRegion","cmpe:AdministrativeRegion; rdfs:label","geography_alias.source_value; geography.canonical_name","rdfs:label on normalized geography","Normalize whitespace/case and resolve to the canonical geography record","SourceRecord and geography-linked facility/observation structures retain provenance",low,"Source label is descriptive evidence, not a stable identity key",PASS
P2-F03,P2-NHIF-INPATIENT,secondary,hospital_code,true,direct,true,"NHIF hospital/facility code represented as a scheme-scoped Facility identifier","cmpe:Facility; cmpe:IdentifierScheme; cmpe:IdentifierAssignment; cmpe:identifierLexicalValue","facility.public_id; identifier_assignment.lexical_value; identifier_assignment.entity_public_id","Facility instance plus IdentifierAssignment","Create/reuse Facility by source code and assign the code under the NHIF hospital-code scheme","IdentifierAssignment.source_record_id; facility-linked observations retain SourceRecord provenance",none,"Facility identity is kept distinct from Organization identity",PASS
P2-F04,P2-NHIF-INPATIENT,secondary,hospital_name,true,direct,true,"Source facility label","cmpe:Facility; rdfs:label","facility.preferred_name","Facility rdfs:label","Attach source name to the source-keyed Facility","Facility use is traceable through source-derived identifiers and observation provenance",none,"Name is descriptive; identifier assignment carries source-scoped identity",PASS
P2-F05,P2-NHIF-INPATIENT,secondary,atc_code,true,direct,true,"ATC classification code for the medicinal-product classification assignment","cmpe:ProductClassificationScheme; cmpe:ClassificationEntry; cmpe:ProductClassificationAssignment","product_classification_scheme; classification_entry.code; product_classification_assignment","RDB-mapped; classification ABox projection not yet emitted by W6 KG exporter","Create/reuse ATC scheme and classification entry; assign the normalized medicinal product","ProductClassificationAssignment.source_record_id links the assignment to the source record",medium,"Direct classification semantics are preserved, but current W6 KG does not yet materialize the assignment",PASS
P2-F06,P2-NHIF-INPATIENT,secondary,atc_name,true,ambiguous,false,"Official/source ATC label; additionally used by the current adapter only as a provisional source-label input for substance normalization","cmpe:ClassificationEntry; cmpe:PharmaceuticalSubstance (provisional source-label use)","classification_entry.label; pharmaceutical_substance.preferred_name","Substance label projected; classification label/assignment not yet projected","Preserve classification label; treat any substance interpretation as provisional until independently identified","SourceRecord retained for classification assignment and normalized product/substance construction",medium,"ATC label is insufficient by itself for a strong active-substance identity claim",PASS
P2-F07,P2-NHIF-INPATIENT,secondary,nhif_code,true,direct,true,"NHIF product/presentation code represented as a scheme-scoped identifier assignment","cmpe:IdentifierScheme; cmpe:IdentifierAssignment; cmpe:identifierLexicalValue; cmpe:MedicinalProductPresentation","identifier_scheme; identifier_assignment.lexical_value; identifier_assignment.entity_public_id","IdentifierAssignment + lexical value + presentation target","Assign code to the normalized presentation under the NHIF product-code scheme","IdentifierAssignment.source_record_id; RDF prov:wasDerivedFrom SourceRecord",none,"Identifier remains scheme-scoped and distinct from entity identity",PASS
P2-F08,P2-NHIF-INPATIENT,secondary,market_name,true,derived,true,"Marketed product name used as a normalized medicinal-product label and identity component","cmpe:MedicinalProduct; rdfs:label","medicinal_product.preferred_name; medicinal_product.public_id","MedicinalProduct instance with rdfs:label","Normalize market name and combine with provisional substance key to derive a deterministic source-level product ID","Product/observations remain traceable to source-derived identifiers and records",low,"No universal product-identity claim is made from the name alone",PASS
P2-F09,P2-NHIF-INPATIENT,secondary,packaging,true,bounded,true,"Packaging description contributing to presentation identity and relational attributes","cmpe:MedicinalProductPresentation","product_presentation.packaging","RDB only in current W6 ABox","Normalize and include in deterministic presentation key","Presentation construction remains source-traceable",medium,"Explicit RDF packaging predicate/structure is not yet emitted",PASS
P2-F10,P2-NHIF-INPATIENT,secondary,concentration,true,bounded,true,"Source concentration/strength text contributing to presentation identity","cmpe:MedicinalProductPresentation; cmpe:Strength (conceptual target)","product_presentation.concentration","RDB only in current W6 ABox","Normalize source text and include in deterministic presentation key","SourceRecord and presentation construction retain traceability",medium,"Value is retained but not decomposed into formal Strength semantics in the current ABox",PASS
P2-F11,P2-NHIF-INPATIENT,secondary,num_in_pack,true,bounded,true,"Number of units per source package/presentation","cmpe:MedicinalProductPresentation; cmpe:PackageConfiguration (conceptual target)","product_presentation.num_in_pack","RDB only in current W6 ABox","Retain lexical package count and include in presentation identity derivation","SourceRecord and presentation construction retain traceability",medium,"No separate package-configuration assertion is emitted in RDF",PASS
P2-F12,P2-NHIF-INPATIENT,secondary,icd_code,true,bounded,false,"Diagnosis classification code associated with the inpatient reimbursement record","cmpe:DiagnosisClassificationReference","diagnosis_reference.code; observation_result.diagnosis_reference_id","RDB only in current W6 ABox","Create/reuse ICD-10 diagnosis reference","Observation/source record preserves relational and provenance linkage",medium,"Diagnosis relation/reference is not yet projected to the W6 RDF ABox",PASS
P2-F13,P2-NHIF-INPATIENT,secondary,icd_name,true,bounded,false,"Source diagnosis label for the ICD classification reference","cmpe:DiagnosisClassificationReference; rdfs:label","diagnosis_reference.label","RDB only in current W6 ABox","Attach label to ICD-10 reference","Source record retained through observation relation",medium,"Descriptive diagnosis label remains relationally represented only",PASS
P2-F14,P2-NHIF-INPATIENT,secondary,patients_num,true,derived,true,"Aggregate patient count for the inpatient reimbursement row; not patient identity","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.patient_count","Separate RDF ObservationResult with unit 'patient count'","Project one relational aggregate row into a metric-specific observation-result node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Prevents fabrication of Patient individuals while preserving aggregate evidence",PASS
P2-F15,P2-NHIF-INPATIENT,secondary,pack_num,true,derived,true,"Aggregate package count for the inpatient reimbursement row","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.package_count","Separate RDF ObservationResult with unit 'package count'","Project one relational aggregate row into a metric-specific observation-result node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Measure semantics remain explicit",PASS
P2-F16,P2-NHIF-INPATIENT,secondary,costs,true,bounded,false,"Original source-reported monetary amount before normalized BGN/EUR projections","cmpe:ReimbursementUtilisationObservationResult (coarse target)","observation_result.cost_original","RDB only; current ABox emits normalized BGN/EUR metric nodes","Retain original numeric value unchanged","SourceRecord preserves original row and transformation lineage",medium,"Original value remains auditable but not separately projected to RDF",PASS
P2-F17,P2-NHIF-INPATIENT,secondary,period,true,derived,true,"Reporting period for the aggregate observation","cmpe:validFrom; cmpe:ReimbursementUtilisationObservationResult","observation_result.reporting_period","cmpe:validFrom xsd:dateTime on metric observation nodes","Convert source date to deterministic midnight dateTime","Observation result retains SourceRecord/transformation provenance",low,"Represents a date anchor rather than a full interval",PASS
P2-F18,P2-NHIF-INPATIENT,secondary,currency,true,bounded,false,"Currency label associated with the original cost measure","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureUnitLabel (normalized projection)","observation_result.currency","Original currency RDB-only; normalized BGN/EUR nodes carry explicit unit labels","Retain source currency and use explicit unit labels for normalized cost nodes","SourceRecord preserves original currency and transformation provenance",medium,"No dedicated currency entity/value-space is modeled in the current projection",PASS
P2-F19,P2-NHIF-INPATIENT,secondary,costs_bgn,true,derived,true,"Normalized BGN monetary observation","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.cost_bgn","Separate RDF ObservationResult with unit 'BGN'","Project BGN value to metric-specific observation node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Explicit metric-specific projection",PASS
P2-F20,P2-NHIF-INPATIENT,secondary,costs_eur,true,derived,true,"Normalized EUR monetary observation","cmpe:ReimbursementUtilisationObservationResult; cmpe:measureNumericValue; cmpe:measureUnitLabel","observation_result.cost_eur","Separate RDF ObservationResult with unit 'EUR'","Project EUR value to metric-specific observation node","ObservationResult prov:wasDerivedFrom SourceRecord and prov:wasGeneratedBy transformation activity",none,"Explicit metric-specific projection",PASS
