requirement_id,source_id,source_family,evidence_basis,requirement_type,normalized_semantic,coverage_status,ontology_targets,critical,representation_note
P3-R02,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,relation,Registration concerns entity,represented,cmpe:registrationEntity,yes,Registration target is explicit
P3-R03,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,relation,Registration issued by authority,represented,cmpe:registrationAuthority,yes,Authority participation is explicit
P3-R04,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,relation,Registration valid in jurisdiction,represented,cmpe:registrationJurisdiction,yes,Jurisdiction context is explicit
P3-R05,P3-FDA-ACTORS,FDA actors and facilities,authoritative operational schema,relation,License validity interval,partial,cmpe:validFrom;cmpe:validTo,no,Generic temporal validity properties exist but richer license-status semantics remain bounded
P4-C01,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Medicinal product and marketed presentation,represented,cmpe:MedicinalProduct;cmpe:MedicinalProductPresentation,yes,Core product identity layers
P4-C02,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Active pharmaceutical substance,represented,cmpe:PharmaceuticalSubstance,yes,Substance identity is independent of product
P4-C03,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Dosage form,represented,cmpe:DosageFormSpecification,yes,Explicit presentation specification
P4-C04,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Strength,represented,cmpe:Strength,yes,Explicit quality
P4-C05,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Package configuration,represented,cmpe:PackageConfiguration,yes,Package semantics explicit
P4-C06,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Market listing and responsible labeler role,represented,cmpe:MarketListing;cmpe:ProductResponsibleLabelerRole,yes,Listing separated from product identity
P4-C07,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Identifier schemes and assignments,represented,cmpe:IdentifierScheme;cmpe:IdentifierAssignment,yes,NDC SPL UNII RxCUI are source-scoped identifiers
P4-C08,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Route of administration,not_represented,,no,No dedicated V2 conceptual type currently exists
P4-C09,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Product label or labeling artifact,not_represented,,no,SPL labeling artifact is outside the current Gate-D conceptual baseline
P4-C10,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,concept,Application or marketing-category reference,partial,cmpe:RegulatoryAuthorization;cmpe:MarketListing,no,Current semantics cover authorization/listing but not the full FDA application-category model
P4-R01,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,relation,Presentation belongs to product,represented,cmpe:presentationOf,yes,Explicit identity relation
P4-R02,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,relation,Product has active substance,represented,cmpe:hasActiveSubstance,yes,Explicit substance relation
P4-R03,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,relation,Presentation has dosage form,represented,cmpe:hasDosageForm,yes,Explicit form relation
P4-R04,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,relation,Presentation has strength and package configuration,represented,cmpe:hasStrength;cmpe:hasPackageConfiguration,yes,Explicit presentation specification relations
P4-R05,P4-OPENFDA-PRODUCT,FDA product and SPL,authoritative operational schema,relation,Listing links presentation responsible organization and jurisdiction,represented,cmpe:listingPresentation;cmpe:listingResponsibleOrganization;cmpe:listingJurisdiction,yes,Typed market-listing relator
P5-C01,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,concept,Critical medicine contextual classification,represented,cmpe:CriticalMedicineClassification;cmpe:ContextualMedicineClassificationAssignment,yes,Criticality is contextual not an intrinsic product kind
P5-C02,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,concept,Medicine shortage situation,represented,cmpe:MedicineShortageSituation,yes,Shortage is time and context bounded
P5-C03,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,concept,Alternative medicinal product role,represented,cmpe:AlternativeMedicinalProductRole;cmpe:AlternativeMedicineAssignment,no,Alternative relation is explicit
P5-C04,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,concept,Shortage status,partial,cmpe:MedicineShortageSituation,no,Current model has shortage situation but no dedicated status taxonomy
P5-C05,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,concept,Therapeutic area or classification,partial,cmpe:ProductClassificationScheme;cmpe:ClassificationEntry,no,Generic classification infrastructure exists without EMA-specific therapeutic-area specialization
P5-C06,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,concept,Availability demand and supply observations,represented,cmpe:AvailabilityObservationResult;cmpe:DemandObservationResult;cmpe:SupplyCapacityObservationResult,yes,Supply evidence represented as observations
P5-R01,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,relation,Context classification applies to product and jurisdiction,represented,cmpe:contextClassificationProduct;cmpe:contextClassificationJurisdiction,yes,Contextual assignment relation explicit
P5-R02,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,relation,Shortage affects product or presentation,represented,cmpe:shortageProduct;cmpe:shortagePresentation,yes,Explicit shortage target relations
P5-R03,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,relation,Shortage scoped to jurisdiction,represented,cmpe:shortageJurisdiction,yes,Jurisdiction relation explicit
P5-R04,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,relation,Alternative product assigned for affected product,represented,cmpe:alternativeProduct;cmpe:alternativeForProduct,no,Typed alternative relator
P5-R05,P5-EMA-CRITICAL-SHORTAGE,EMA critical medicine and shortages,authoritative operational schema,relation,Shortage publication and update provenance,partial,cmpe:SourceRecord;cmpe:DatasetRelease;cmpe:ProvenanceActivity,no,Provenance infrastructure exists but publication/update lifecycle is not specialized
P6-C01,P6-WHO-EML,WHO Model List,authoritative policy source,concept,Essential medicine contextual classification,represented,cmpe:EssentialMedicineClassification;cmpe:ContextualMedicineClassificationAssignment,yes,Essentiality is contextual and list dependent
P6-C02,P6-WHO-EML,WHO Model List,authoritative policy source,concept,List version and publication context,partial,cmpe:DatasetRelease;cmpe:ReportingPeriod,no,Source versioning is represented generically
P6-C03,P6-WHO-EML,WHO Model List,authoritative policy source,concept,Dosage form and strength,represented,cmpe:DosageFormSpecification;cmpe:Strength,no,Core product specifications cover these semantics
P6-C04,P6-WHO-EML,WHO Model List,authoritative policy source,concept,Indication reference,partial,cmpe:DiagnosisClassificationReference,no,Diagnosis-reference extension offers only a bounded approximation
P6-R01,P6-WHO-EML,WHO Model List,authoritative policy source,relation,Essential classification applies to product,represented,cmpe:contextClassificationProduct,yes,Contextual classification target is explicit
P6-R02,P6-WHO-EML,WHO Model List,authoritative policy source,relation,Essential classification linked to list entry,represented,cmpe:contextClassificationEntry;cmpe:ClassificationEntry,yes,List/classification entry relation explicit
P6-R03,P6-WHO-EML,WHO Model List,authoritative policy source,relation,Alternative formulation or medicine relation,partial,cmpe:AlternativeMedicineAssignment,no,Generic alternative assignment exists but WHO-specific formulation semantics are not specialized
P7-C01,P7-GEONAMES,GeoNames,normalization schema,concept,Geographic feature,represented,cmpe:GeographicFeature,yes,Normalization-only geography evidence
P7-C02,P7-GEONAMES,GeoNames,normalization schema,concept,Administrative region and country,represented,cmpe:AdministrativeRegion;cmpe:Country,yes,Administrative hierarchy explicit
P7-C03,P7-GEONAMES,GeoNames,normalization schema,concept,Geospatial position,represented,cmpe:GeospatialPosition,yes,Datatype supports coordinate representation
P7-C04,P7-GEONAMES,GeoNames,normalization schema,concept,Geographic identifier,represented,cmpe:IdentifierScheme;cmpe:IdentifierAssignment,no,GeoNames ID can be represented as scoped identifier assignment
P7-C05,P7-GEONAMES,GeoNames,normalization schema,concept,Alternative geographic name,not_represented,,no,No dedicated alternative-name structure in Gate-D model
P7-R01,P7-GEONAMES,GeoNames,normalization schema,relation,Feature within administrative region,represented,cmpe:withinRegion,yes,Containment relation explicit
P7-R02,P7-GEONAMES,GeoNames,normalization schema,relation,Feature within country,represented,cmpe:withinCountry,yes,Country containment explicit
C1-C01,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,concept,Inventory observation,represented,cmpe:InventoryObservationResult,no,Risk and resilience extension
C1-C02,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,concept,Procurement activity,represented,cmpe:ProcurementActivity,no,Typed procurement event
C1-C03,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,concept,Lead-time observation,represented,cmpe:LeadTimeObservationResult,no,Typed observation result
C1-C04,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,concept,Stockout situation,represented,cmpe:StockoutSituation,yes,Typed resilience situation
C1-C05,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,concept,Reorder policy or stock parameter,not_represented,,no,No dedicated policy/parameter type in current extension
C1-R01,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,relation,Supply dependency between dependent and provider,represented,cmpe:SupplyDependency;cmpe:dependencyDependent;cmpe:dependencyProvider,yes,Typed dependency relator
C1-R02,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,relation,Procurement or inventory evidence about product,partial,cmpe:observationResultAbout;cmpe:ProcurementActivity,no,Aboutness exists but procurement participation is not fully specialized
C1-R03,C1-SUPPLY-OPERATIONS,Supply operations,conditional DOI schema,relation,Operational disruption affects ecosystem element,represented,cmpe:DisruptionEvent;cmpe:disruptionAffects,no,Typed disruption relation
C2-C01,C2-EUDRAGMDP,EudraGMDP,conditional public semantic evidence,concept,Manufacturer and importer roles,represented,cmpe:ManufacturerRole;cmpe:ImporterRole,yes,Contextual organization roles
C2-C02,C2-EUDRAGMDP,EudraGMDP,conditional public semantic evidence,concept,Wholesale distribution role,represented,cmpe:WholesaleDistributorRole,yes,Contextual role
C2-C03,C2-EUDRAGMDP,EudraGMDP,conditional public semantic evidence,concept,Site or facility,represented,cmpe:Facility,yes,Physical site distinction
C2-C04,C2-EUDRAGMDP,EudraGMDP,conditional public semantic evidence,concept,Manufacturing or import authorization,represented,cmpe:RegulatoryAuthorization,yes,Authorization relator
C2-C05,C2-EUDRAGMDP,EudraGMDP,conditional public semantic evidence,concept,GMP or GDP certificate/status,not_represented,,no,No dedicated certificate/status concept in Gate-D model
C2-R01,C2-EUDRAGMDP,EudraGMDP,conditional public semantic evidence,relation,Authorization issued by authority and jurisdiction,represented,cmpe:authorizationAuthority;cmpe:authorizationJurisdiction,yes,Explicit regulatory relations
C2-R02,C2-EUDRAGMDP,EudraGMDP,conditional public semantic evidence,relation,Authorization concerns party,represented,cmpe:authorizationParty,yes,Explicit party relation
S1-C01,S1-CHEMBL37,ChEMBL,secondary enrichment,concept,Pharmaceutical substance identity,represented,cmpe:PharmaceuticalSubstance,no,Secondary enrichment only
S1-C02,S1-CHEMBL37,ChEMBL,secondary enrichment,concept,Molecule identifier and cross-reference,represented,cmpe:IdentifierScheme;cmpe:IdentifierAssignment,no,Identifier infrastructure reusable
S1-C03,S1-CHEMBL37,ChEMBL,secondary enrichment,concept,Substance synonym,not_represented,,no,No dedicated synonym assertion type in Gate-D baseline
S1-R01,S1-CHEMBL37,ChEMBL,secondary enrichment,relation,Identifier assigned to substance,represented,cmpe:identifierEntity;cmpe:identifierScheme,no,Generic identifier assignment supports cross-source identifiers
S2-C01,S2-NHIF-INDIVIDUAL-ACCESS,NHIF individual access,secondary access extension,concept,Payer or funding organization role,represented,cmpe:PayerFundingOrganizationRole,no,Access extension role
S2-C02,S2-NHIF-INDIVIDUAL-ACCESS,NHIF individual access,secondary access extension,concept,Exceptional funding decision or record,not_represented,,no,No dedicated funding-decision relator in current Gate-D model
S2-C03,S2-NHIF-INDIVIDUAL-ACCESS,NHIF individual access,secondary access extension,concept,Medicinal product,represented,cmpe:MedicinalProduct,no,Core product type
S2-C04,S2-NHIF-INDIVIDUAL-ACCESS,NHIF individual access,secondary access extension,concept,Decision time and jurisdiction,partial,cmpe:TimeInterval;cmpe:RegulatoryJurisdiction,no,Context terms exist without dedicated funding-decision relation
S2-R01,S2-NHIF-INDIVIDUAL-ACCESS,NHIF individual access,secondary access extension,relation,Funding organization associated with access decision,not_represented,,no,No dedicated funding-decision relation currently exists
S3-C01,S3-OPENFDA-FAERS,FAERS,optional safety extension,concept,Adverse-event reporting activity,represented,cmpe:AdverseEventReportingActivity,no,Safety extension retains durable reporting activity
S3-C02,S3-OPENFDA-FAERS,FAERS,optional safety extension,concept,Pharmacovigilance requirement,represented,cmpe:PharmacovigilanceRequirement,no,Normative safety extension
S3-C03,S3-OPENFDA-FAERS,FAERS,optional safety extension,concept,Adverse event case or event entity,not_represented,,no,Current extension models reporting activity but not a dedicated adverse-event case type
